19-85,18-86
22-79,39-79
2-3,2-73
1-90,1-90
59-96,19-96
31-71,31-31
73-74,18-78
64-96,65-96
31-86,30-87
3-53,30-52
28-77,27-98
9-89,1-89
42-97,42-99
51-99,52-57
28-35,28-35
4-97,4-4
74-97,75-97
15-94,14-94
29-68,29-69
1-95,2-30
12-72,71-72
5-6,5-30
4-99,3-99
35-55,34-56
4-98,3-98
56-94,55-95
19-20,19-90
7-93,7-89
7-97,7-7
4-88,4-89
17-78,19-78
21-22,21-94
18-42,17-42
4-98,6-98
62-77,63-73
12-37,11-38
17-29,17-29
61-63,59-64
56-75,55-75
81-82,81-82
3-99,4-98
30-30,30-33
3-59,2-59
61-98,81-86
4-92,4-92
92-93,20-93
40-53,41-53
57-81,57-82
4-67,4-67
44-47,44-46
7-98,6-99
10-51,9-87
10-41,10-10
7-37,7-90
13-84,6-84
23-95,86-95
8-8,8-28
9-59,14-59
1-2,1-88
13-91,13-30
42-96,95-96
43-97,34-97
90-90,65-91
25-89,26-26
14-80,79-79
49-72,49-50
19-47,18-88
7-46,7-23
2-99,2-99
14-44,14-14
25-27,6-27
28-96,27-97
24-75,23-81
61-62,13-62
22-24,22-82
10-10,10-81
37-77,76-77
10-32,18-32
45-46,45-77
16-21,16-20
19-61,18-61
9-67,9-66
4-86,1-86
49-63,48-63
3-67,18-67
74-84,83-83
32-77,33-77
59-73,26-73
59-60,32-60
30-58,33-39
9-76,9-76
37-37,28-38
64-75,63-84
5-91,11-88
41-95,37-96
39-82,40-82
92-93,1-93
4-97,4-98
31-75,30-75
36-36,36-41
5-93,4-94
29-92,29-92
16-87,16-16
18-63,62-63
80-81,16-81
3-34,4-34
34-88,35-87
41-76,42-69
28-33,27-46
9-95,10-94
15-99,15-92
93-94,1-94
19-50,47-50
10-98,11-98
42-87,86-86
18-92,48-92
43-46,39-50
48-86,49-68
55-67,56-67
34-94,34-34
16-72,17-71
27-75,33-75
3-34,33-34
46-46,21-47
15-90,5-90
10-63,10-62
32-80,33-79
17-17,17-89
63-83,15-83
5-82,5-82
51-60,51-82
1-82,1-82
10-99,13-99
84-89,83-90
29-88,29-89
5-68,10-68
26-95,26-96
32-57,21-58
93-93,50-94
62-96,62-89
52-82,52-81
27-82,27-27
17-97,16-97
2-90,1-91
43-48,43-52
5-25,9-25
4-95,4-5
14-59,13-59
95-96,20-96
13-14,11-14
26-91,20-91
23-64,64-64
20-95,21-21
4-85,4-84
17-60,15-60
78-95,78-90
34-38,33-38
41-49,48-49
4-44,3-44
68-68,10-69
28-84,29-56
7-7,7-55
27-44,19-44
1-82,2-81
5-10,4-27
74-82,74-75
9-83,9-83
7-92,19-92
12-92,12-86
7-81,7-82
24-74,38-73
19-26,1-26
5-11,4-11
13-82,14-81
30-97,96-96
50-94,50-94
22-76,22-76
4-56,5-55
2-72,46-71
14-66,14-79
12-73,13-72
2-98,3-98
65-97,65-96
9-38,37-38
49-65,26-66
7-85,7-86
33-73,33-73
18-89,35-56
1-81,1-71
18-65,17-65
10-73,72-73
2-90,3-66
1-99,86-99
84-85,83-85
27-92,27-92
8-9,8-22
9-72,8-72
5-89,5-57
32-84,31-88
39-91,90-91
6-39,5-60
5-78,32-75
8-92,8-8
70-95,14-95
26-64,29-63
26-83,27-82
76-90,76-91
73-99,74-74
13-13,13-91
32-81,32-80
9-95,9-95
2-96,2-97
6-33,7-27
9-67,10-67
47-48,47-59
40-98,41-93
5-69,5-69
1-66,2-66
8-96,7-97
86-86,2-87
19-42,20-41
36-42,36-43
10-86,11-78
2-22,2-71
5-99,6-89
6-18,6-6
69-71,69-69
52-62,52-62
79-98,79-98
49-93,49-70
10-97,10-97
37-98,97-97
2-80,2-79
33-82,18-98
68-95,68-96
7-8,7-14
24-92,24-91
13-83,13-82
23-54,53-53
24-66,23-94
23-67,66-67
34-80,48-79
79-90,33-95
2-94,93-93
5-94,5-94
60-95,59-96
4-99,4-54
12-47,13-13
23-34,22-34
49-96,49-86
37-59,37-59
9-91,9-91
8-13,11-13
11-85,84-85
47-92,48-92
4-89,5-89
63-63,12-64
21-47,20-47
6-90,6-86
64-91,83-90
5-8,5-7
42-84,41-98
30-59,29-60
6-92,5-95
5-39,4-40
2-92,2-91
8-91,20-91
78-89,77-90
48-89,47-89
63-64,64-64
73-82,72-82
11-41,11-12
46-90,66-89
40-91,40-91
23-27,23-51
3-20,3-21
64-91,48-91
45-86,43-86
13-61,60-60
34-37,36-37
4-96,24-95
2-55,1-92
62-65,61-73
2-95,2-95
10-92,9-92
8-99,9-98
18-18,1-19
47-59,46-60
23-98,24-96
37-57,37-56
58-74,58-58
16-84,17-84
1-36,1-36
62-63,14-63
22-99,23-98
1-86,85-86
4-72,5-72
41-82,41-79
64-95,64-93
38-83,35-83
1-99,2-72
12-34,11-34
58-78,18-92
31-91,90-91
28-90,89-90
5-50,5-50
75-75,62-76
1-99,2-49
4-4,3-61
9-99,9-96
15-61,38-61
2-94,13-94
15-52,16-51
10-98,12-98
1-44,1-89
4-97,3-97
20-36,21-36
1-76,1-74
69-69,69-94
47-47,47-59
57-57,57-80
11-11,11-35
15-70,15-71
20-55,21-54
82-82,48-83
12-45,44-45
3-80,2-81
21-41,35-41
11-82,11-82
38-58,39-58
2-98,3-56
52-85,52-85
32-36,32-36
4-85,84-85
2-66,26-66
72-86,72-86
14-53,15-53
4-78,8-78
41-98,27-99
9-93,10-93
91-98,92-98
22-89,23-89
5-45,4-45
52-99,52-99
3-98,4-69
64-92,8-99
1-90,5-90
38-77,26-91
3-94,4-74
4-58,4-4
2-99,3-98
21-94,20-95
11-76,12-75
2-96,92-95
44-76,41-76
5-93,6-92
97-97,96-98
34-87,34-88
14-27,14-35
25-80,26-46
28-80,77-80
89-90,71-90
16-96,16-23
9-83,9-10
46-53,52-53
28-93,92-93
48-64,47-71
44-85,7-85
30-57,29-58
5-95,8-90
6-95,12-95
29-95,29-99
28-94,28-97
8-8,7-8
89-90,27-90
24-74,19-74
2-95,2-95
55-91,54-91
30-81,30-81
52-77,53-66
5-91,75-90
41-77,50-77
33-37,32-37
9-34,33-33
95-95,25-96
16-65,53-60
15-75,16-27
6-33,6-7
10-60,2-60
16-62,15-62
19-28,8-47
4-94,93-93
2-96,95-96
21-96,21-34
11-50,11-50
65-99,65-92
13-95,94-94
57-96,57-96
42-85,57-84
26-81,25-82
54-98,54-86
7-72,8-51
67-83,67-71
1-47,1-47
2-89,2-98
30-59,31-59
14-69,9-70
9-97,9-99
45-68,44-69
24-51,47-48
48-48,48-68
7-73,7-73
39-70,38-71
26-94,26-93
14-63,15-62
1-73,2-51
1-93,11-20
34-70,35-69
11-11,11-87
8-73,8-73
23-29,13-67
23-38,23-75
84-94,18-94
10-63,11-62
20-95,20-54
20-97,3-97
44-85,45-84
4-98,3-98
17-80,17-75
22-49,22-49
8-84,83-84
59-91,60-73
76-93,2-97
5-48,5-94
3-58,4-57
46-84,46-82
30-74,73-74
24-34,24-34
4-98,5-98
41-98,42-98
2-85,2-84
25-65,26-30
41-69,12-70
31-88,32-87
10-87,10-87
4-29,4-98
8-40,30-40
26-82,25-82
75-79,45-79
6-98,9-89
2-78,25-78
3-98,3-98
9-78,77-77
56-57,56-58
47-47,47-73
30-80,36-80
2-99,3-98
31-31,15-32
14-71,14-15
5-39,14-38
37-64,37-37
40-88,41-41
84-87,1-99
72-87,72-78
1-99,2-99
12-26,12-26
17-80,17-79
1-84,83-84
20-82,20-20
3-86,2-95
19-98,60-94
8-57,9-12
1-1,1-15
57-58,30-58
48-90,57-89
2-86,85-86
25-78,26-77
76-96,75-97
66-94,64-97
51-80,51-80
2-78,1-78
75-85,76-76
15-96,14-96
12-26,12-16
1-51,3-43
87-88,27-88
17-99,16-99
9-36,20-24
25-32,24-32
32-32,32-76
4-79,4-82
38-61,54-59
38-99,38-99
8-97,8-97
7-28,8-22
76-90,77-90
34-62,34-61
1-98,2-98
5-99,5-5
36-97,10-98
12-94,93-94
72-78,71-78
13-18,14-18
47-76,75-76
21-96,21-95
27-64,28-62
19-40,25-39
4-59,4-98
10-66,10-67
16-82,17-82
7-99,3-99
18-30,17-92
19-77,20-77
33-76,33-76
3-98,17-92
79-79,4-80
93-97,15-98
9-54,10-53
28-59,27-98
59-67,58-67
20-50,20-65
23-91,24-91
3-99,3-97
25-48,26-48
9-79,25-78
6-85,7-84
54-77,53-78
1-99,1-99
59-96,60-96
12-45,12-46
22-87,3-87
36-98,36-74
56-56,22-57
7-92,8-83
13-94,14-93
22-90,89-89
46-94,83-87
3-94,3-95
46-61,46-47
22-23,22-90
1-1,1-67
3-38,2-99
46-98,47-97
52-72,53-71
19-85,18-86
50-90,50-95
98-99,66-99
14-67,14-14
4-79,78-79
13-98,10-98
27-78,77-78
22-28,22-27
84-99,98-99
33-54,34-54
29-45,44-44
89-95,89-93
13-95,94-95
7-43,7-42
16-16,16-96
5-98,5-95
51-54,50-99
5-99,5-5
25-98,25-98
81-94,81-94
48-61,60-61
48-83,48-82
21-89,20-89
10-68,9-91
10-97,96-97
12-88,12-87
16-77,16-16
22-36,21-85
15-70,9-70
18-73,17-74
22-79,39-79
2-3,2-73
1-90,1-90
59-96,19-96
31-71,31-31
73-74,18-78
64-96,65-96
31-86,30-87
3-53,30-52
28-77,27-98
9-89,1-89
42-97,42-99
51-99,52-57
28-35,28-35
4-97,4-4
74-97,75-97
15-94,14-94
29-68,29-69
1-95,2-30
12-72,71-72
5-6,5-30
4-99,3-99
35-55,34-56
4-98,3-98
56-94,55-95
19-20,19-90
7-93,7-89
7-97,7-7
4-88,4-89
17-78,19-78
21-22,21-94
18-42,17-42
4-98,6-98
62-77,63-73
12-37,11-38
17-29,17-29
61-63,59-64
56-75,55-75
81-82,81-82
3-99,4-98
30-30,30-33
3-59,2-59
61-98,81-86
4-92,4-92
92-93,20-93
40-53,41-53
57-81,57-82
4-67,4-67
44-47,44-46
7-98,6-99
10-51,9-87
10-41,10-10
7-37,7-90
13-84,6-84
23-95,86-95
8-8,8-28
9-59,14-59
1-2,1-88
13-91,13-30
42-96,95-96
43-97,34-97
90-90,65-91
25-89,26-26
14-80,79-79
49-72,49-50
19-47,18-88
7-46,7-23
2-99,2-99
14-44,14-14
25-27,6-27
28-96,27-97
24-75,23-81
61-62,13-62
22-24,22-82
10-10,10-81
37-77,76-77
10-32,18-32
45-46,45-77
16-21,16-20
19-61,18-61
9-67,9-66
4-86,1-86
49-63,48-63
3-67,18-67
74-84,83-83
32-77,33-77
59-73,26-73
59-60,32-60
30-58,33-39
9-76,9-76
37-37,28-38
64-75,63-84
5-91,11-88
41-95,37-96
39-82,40-82
92-93,1-93
4-97,4-98
31-75,30-75
36-36,36-41
5-93,4-94
29-92,29-92
16-87,16-16
18-63,62-63
80-81,16-81
3-34,4-34
34-88,35-87
41-76,42-69
28-33,27-46
9-95,10-94
15-99,15-92
93-94,1-94
19-50,47-50
10-98,11-98
42-87,86-86
18-92,48-92
43-46,39-50
48-86,49-68
55-67,56-67
34-94,34-34
16-72,17-71
27-75,33-75
3-34,33-34
46-46,21-47
15-90,5-90
10-63,10-62
32-80,33-79
17-17,17-89
63-83,15-83
5-82,5-82
51-60,51-82
1-82,1-82
10-99,13-99
84-89,83-90
29-88,29-89
5-68,10-68
26-95,26-96
32-57,21-58
93-93,50-94
62-96,62-89
52-82,52-81
27-82,27-27
17-97,16-97
2-90,1-91
43-48,43-52
5-25,9-25
4-95,4-5
14-59,13-59
95-96,20-96
13-14,11-14
26-91,20-91
23-64,64-64
20-95,21-21
4-85,4-84
17-60,15-60
78-95,78-90
34-38,33-38
41-49,48-49
4-44,3-44
68-68,10-69
28-84,29-56
7-7,7-55
27-44,19-44
1-82,2-81
5-10,4-27
74-82,74-75
9-83,9-83
7-92,19-92
12-92,12-86
7-81,7-82
24-74,38-73
19-26,1-26
5-11,4-11
13-82,14-81
30-97,96-96
50-94,50-94
22-76,22-76
4-56,5-55
2-72,46-71
14-66,14-79
12-73,13-72
2-98,3-98
65-97,65-96
9-38,37-38
49-65,26-66
7-85,7-86
33-73,33-73
18-89,35-56
1-81,1-71
18-65,17-65
10-73,72-73
2-90,3-66
1-99,86-99
84-85,83-85
27-92,27-92
8-9,8-22
9-72,8-72
5-89,5-57
32-84,31-88
39-91,90-91
6-39,5-60
5-78,32-75
8-92,8-8
70-95,14-95
26-64,29-63
26-83,27-82
76-90,76-91
73-99,74-74
13-13,13-91
32-81,32-80
9-95,9-95
2-96,2-97
6-33,7-27
9-67,10-67
47-48,47-59
40-98,41-93
5-69,5-69
1-66,2-66
8-96,7-97
86-86,2-87
19-42,20-41
36-42,36-43
10-86,11-78
2-22,2-71
5-99,6-89
6-18,6-6
69-71,69-69
52-62,52-62
79-98,79-98
49-93,49-70
10-97,10-97
37-98,97-97
2-80,2-79
33-82,18-98
68-95,68-96
7-8,7-14
24-92,24-91
13-83,13-82
23-54,53-53
24-66,23-94
23-67,66-67
34-80,48-79
79-90,33-95
2-94,93-93
5-94,5-94
60-95,59-96
4-99,4-54
12-47,13-13
23-34,22-34
49-96,49-86
37-59,37-59
9-91,9-91
8-13,11-13
11-85,84-85
47-92,48-92
4-89,5-89
63-63,12-64
21-47,20-47
6-90,6-86
64-91,83-90
5-8,5-7
42-84,41-98
30-59,29-60
6-92,5-95
5-39,4-40
2-92,2-91
8-91,20-91
78-89,77-90
48-89,47-89
63-64,64-64
73-82,72-82
11-41,11-12
46-90,66-89
40-91,40-91
23-27,23-51
3-20,3-21
64-91,48-91
45-86,43-86
13-61,60-60
34-37,36-37
4-96,24-95
2-55,1-92
62-65,61-73
2-95,2-95
10-92,9-92
8-99,9-98
18-18,1-19
47-59,46-60
23-98,24-96
37-57,37-56
58-74,58-58
16-84,17-84
1-36,1-36
62-63,14-63
22-99,23-98
1-86,85-86
4-72,5-72
41-82,41-79
64-95,64-93
38-83,35-83
1-99,2-72
12-34,11-34
58-78,18-92
31-91,90-91
28-90,89-90
5-50,5-50
75-75,62-76
1-99,2-49
4-4,3-61
9-99,9-96
15-61,38-61
2-94,13-94
15-52,16-51
10-98,12-98
1-44,1-89
4-97,3-97
20-36,21-36
1-76,1-74
69-69,69-94
47-47,47-59
57-57,57-80
11-11,11-35
15-70,15-71
20-55,21-54
82-82,48-83
12-45,44-45
3-80,2-81
21-41,35-41
11-82,11-82
38-58,39-58
2-98,3-56
52-85,52-85
32-36,32-36
4-85,84-85
2-66,26-66
72-86,72-86
14-53,15-53
4-78,8-78
41-98,27-99
9-93,10-93
91-98,92-98
22-89,23-89
5-45,4-45
52-99,52-99
3-98,4-69
64-92,8-99
1-90,5-90
38-77,26-91
3-94,4-74
4-58,4-4
2-99,3-98
21-94,20-95
11-76,12-75
2-96,92-95
44-76,41-76
5-93,6-92
97-97,96-98
34-87,34-88
14-27,14-35
25-80,26-46
28-80,77-80
89-90,71-90
16-96,16-23
9-83,9-10
46-53,52-53
28-93,92-93
48-64,47-71
44-85,7-85
30-57,29-58
5-95,8-90
6-95,12-95
29-95,29-99
28-94,28-97
8-8,7-8
89-90,27-90
24-74,19-74
2-95,2-95
55-91,54-91
30-81,30-81
52-77,53-66
5-91,75-90
41-77,50-77
33-37,32-37
9-34,33-33
95-95,25-96
16-65,53-60
15-75,16-27
6-33,6-7
10-60,2-60
16-62,15-62
19-28,8-47
4-94,93-93
2-96,95-96
21-96,21-34
11-50,11-50
65-99,65-92
13-95,94-94
57-96,57-96
42-85,57-84
26-81,25-82
54-98,54-86
7-72,8-51
67-83,67-71
1-47,1-47
2-89,2-98
30-59,31-59
14-69,9-70
9-97,9-99
45-68,44-69
24-51,47-48
48-48,48-68
7-73,7-73
39-70,38-71
26-94,26-93
14-63,15-62
1-73,2-51
1-93,11-20
34-70,35-69
11-11,11-87
8-73,8-73
23-29,13-67
23-38,23-75
84-94,18-94
10-63,11-62
20-95,20-54
20-97,3-97
44-85,45-84
4-98,3-98
17-80,17-75
22-49,22-49
8-84,83-84
59-91,60-73
76-93,2-97
5-48,5-94
3-58,4-57
46-84,46-82
30-74,73-74
24-34,24-34
4-98,5-98
41-98,42-98
2-85,2-84
25-65,26-30
41-69,12-70
31-88,32-87
10-87,10-87
4-29,4-98
8-40,30-40
26-82,25-82
75-79,45-79
6-98,9-89
2-78,25-78
3-98,3-98
9-78,77-77
56-57,56-58
47-47,47-73
30-80,36-80
2-99,3-98
31-31,15-32
14-71,14-15
5-39,14-38
37-64,37-37
40-88,41-41
84-87,1-99
72-87,72-78
1-99,2-99
12-26,12-26
17-80,17-79
1-84,83-84
20-82,20-20
3-86,2-95
19-98,60-94
8-57,9-12
1-1,1-15
57-58,30-58
48-90,57-89
2-86,85-86
25-78,26-77
76-96,75-97
66-94,64-97
51-80,51-80
2-78,1-78
75-85,76-76
15-96,14-96
12-26,12-16
1-51,3-43
87-88,27-88
17-99,16-99
9-36,20-24
25-32,24-32
32-32,32-76
4-79,4-82
38-61,54-59
38-99,38-99
8-97,8-97
7-28,8-22
76-90,77-90
34-62,34-61
1-98,2-98
5-99,5-5
36-97,10-98
12-94,93-94
72-78,71-78
13-18,14-18
47-76,75-76
21-96,21-95
27-64,28-62
19-40,25-39
4-59,4-98
10-66,10-67
16-82,17-82
7-99,3-99
18-30,17-92
19-77,20-77
33-76,33-76
3-98,17-92
79-79,4-80
93-97,15-98
9-54,10-53
28-59,27-98
59-67,58-67
20-50,20-65
23-91,24-91
3-99,3-97
25-48,26-48
9-79,25-78
6-85,7-84
54-77,53-78
1-99,1-99
59-96,60-96
12-45,12-46
22-87,3-87
36-98,36-74
56-56,22-57
7-92,8-83
13-94,14-93
22-90,89-89
46-94,83-87
3-94,3-95
46-61,46-47
22-23,22-90
1-1,1-67
3-38,2-99
46-98,47-97
52-72,53-71
19-85,18-86
50-90,50-95
98-99,66-99
14-67,14-14
4-79,78-79
13-98,10-98
27-78,77-78
22-28,22-27
84-99,98-99
33-54,34-54
29-45,44-44
89-95,89-93
13-95,94-95
7-43,7-42
16-16,16-96
5-98,5-95
51-54,50-99
5-99,5-5
25-98,25-98
81-94,81-94
48-61,60-61
48-83,48-82
21-89,20-89
10-68,9-91
10-97,96-97
12-88,12-87
16-77,16-16
22-36,21-85
15-70,9-70
18-73,17-74
22-79,39-79
2-3,2-73
1-90,1-90
59-96,19-96
31-71,31-31
73-74,18-78
64-96,65-96
31-86,30-87
3-53,30-52
28-77,27-98
9-89,1-89
42-97,42-99
51-99,52-57
28-35,28-35
4-97,4-4
74-97,75-97
15-94,14-94
29-68,29-69
1-95,2-30
12-72,71-72
5-6,5-30
4-99,3-99
35-55,34-56
4-98,3-98
56-94,55-95
19-20,19-90
7-93,7-89
7-97,7-7
4-88,4-89
17-78,19-78
21-22,21-94
18-42,17-42
4-98,6-98
62-77,63-73
12-37,11-38
17-29,17-29
61-63,59-64
56-75,55-75
81-82,81-82
3-99,4-98
30-30,30-33
3-59,2-59
61-98,81-86
4-92,4-92
92-93,20-93
40-53,41-53
57-81,57-82
4-67,4-67
44-47,44-46
7-98,6-99
10-51,9-87
10-41,10-10
7-37,7-90
13-84,6-84
23-95,86-95
8-8,8-28
9-59,14-59
1-2,1-88
13-91,13-30
42-96,95-96
43-97,34-97
90-90,65-91
25-89,26-26
14-80,79-79
49-72,49-50
19-47,18-88
7-46,7-23
2-99,2-99
14-44,14-14
25-27,6-27
28-96,27-97
24-75,23-81
61-62,13-62
22-24,22-82
10-10,10-81
37-77,76-77
10-32,18-32
45-46,45-77
16-21,16-20
19-61,18-61
9-67,9-66
4-86,1-86
49-63,48-63
3-67,18-67
74-84,83-83
32-77,33-77
59-73,26-73
59-60,32-60
30-58,33-39
9-76,9-76
37-37,28-38
64-75,63-84
5-91,11-88
41-95,37-96
39-82,40-82
92-93,1-93
4-97,4-98
31-75,30-75
36-36,36-41
5-93,4-94
29-92,29-92
16-87,16-16
18-63,62-63
80-81,16-81
3-34,4-34
34-88,35-87
41-76,42-69
28-33,27-46
9-95,10-94
15-99,15-92
93-94,1-94
19-50,47-50
10-98,11-98
42-87,86-86
18-92,48-92
43-46,39-50
48-86,49-68
55-67,56-67
34-94,34-34
16-72,17-71
27-75,33-75
3-34,33-34
46-46,21-47
15-90,5-90
10-63,10-62
32-80,33-79
17-17,17-89
63-83,15-83
5-82,5-82
51-60,51-82
1-82,1-82
10-99,13-99
84-89,83-90
29-88,29-89
5-68,10-68
26-95,26-96
32-57,21-58
93-93,50-94
62-96,62-89
52-82,52-81
27-82,27-27
17-97,16-97
2-90,1-91
43-48,43-52
5-25,9-25
4-95,4-5
14-59,13-59
95-96,20-96
13-14,11-14
26-91,20-91
23-64,64-64
20-95,21-21
4-85,4-84
17-60,15-60
78-95,78-90
34-38,33-38
41-49,48-49
4-44,3-44
68-68,10-69
28-84,29-56
7-7,7-55
27-44,19-44
1-82,2-81
5-10,4-27
74-82,74-75
9-83,9-83
7-92,19-92
12-92,12-86
7-81,7-82
24-74,38-73
19-26,1-26
5-11,4-11
13-82,14-81
30-97,96-96
50-94,50-94
22-76,22-76
4-56,5-55
2-72,46-71
14-66,14-79
12-73,13-72
2-98,3-98
65-97,65-96
9-38,37-38
49-65,26-66
7-85,7-86
33-73,33-73
18-89,35-56
1-81,1-71
18-65,17-65
10-73,72-73
2-90,3-66
1-99,86-99
84-85,83-85
27-92,27-92
8-9,8-22
9-72,8-72
5-89,5-57
32-84,31-88
39-91,90-91
6-39,5-60
5-78,32-75
8-92,8-8
70-95,14-95
26-64,29-63
26-83,27-82
76-90,76-91
73-99,74-74
13-13,13-91
32-81,32-80
9-95,9-95
2-96,2-97
6-33,7-27
9-67,10-67
47-48,47-59
40-98,41-93
5-69,5-69
1-66,2-66
8-96,7-97
86-86,2-87
19-42,20-41
36-42,36-43
10-86,11-78
2-22,2-71
5-99,6-89
6-18,6-6
69-71,69-69
52-62,52-62
79-98,79-98
49-93,49-70
10-97,10-97
37-98,97-97
2-80,2-79
33-82,18-98
68-95,68-96
7-8,7-14
24-92,24-91
13-83,13-82
23-54,53-53
24-66,23-94
23-67,66-67
34-80,48-79
79-90,33-95
2-94,93-93
5-94,5-94
60-95,59-96
4-99,4-54
12-47,13-13
23-34,22-34
49-96,49-86
37-59,37-59
9-91,9-91
8-13,11-13
11-85,84-85
47-92,48-92
4-89,5-89
63-63,12-64
21-47,20-47
6-90,6-86
64-91,83-90
5-8,5-7
42-84,41-98
30-59,29-60
6-92,5-95
5-39,4-40
2-92,2-91
8-91,20-91
78-89,77-90
48-89,47-89
63-64,64-64
73-82,72-82
11-41,11-12
46-90,66-89
40-91,40-91
23-27,23-51
3-20,3-21
64-91,48-91
45-86,43-86
13-61,60-60
34-37,36-37
4-96,24-95
2-55,1-92
62-65,61-73
2-95,2-95
10-92,9-92
8-99,9-98
18-18,1-19
47-59,46-60
23-98,24-96
37-57,37-56
58-74,58-58
16-84,17-84
1-36,1-36
62-63,14-63
22-99,23-98
1-86,85-86
4-72,5-72
41-82,41-79
64-95,64-93
38-83,35-83
1-99,2-72
12-34,11-34
58-78,18-92
31-91,90-91
28-90,89-90
5-50,5-50
75-75,62-76
1-99,2-49
4-4,3-61
9-99,9-96
15-61,38-61
2-94,13-94
15-52,16-51
10-98,12-98
1-44,1-89
4-97,3-97
20-36,21-36
1-76,1-74
69-69,69-94
47-47,47-59
57-57,57-80
11-11,11-35
15-70,15-71
20-55,21-54
82-82,48-83
12-45,44-45
3-80,2-81
21-41,35-41
11-82,11-82
38-58,39-58
2-98,3-56
52-85,52-85
32-36,32-36
4-85,84-85
2-66,26-66
72-86,72-86
14-53,15-53
4-78,8-78
41-98,27-99
9-93,10-93
91-98,92-98
22-89,23-89
5-45,4-45
52-99,52-99
3-98,4-69
64-92,8-99
1-90,5-90
38-77,26-91
3-94,4-74
4-58,4-4
2-99,3-98
21-94,20-95
11-76,12-75
2-96,92-95
44-76,41-76
5-93,6-92
97-97,96-98
34-87,34-88
14-27,14-35
25-80,26-46
28-80,77-80
89-90,71-90
16-96,16-23
9-83,9-10
46-53,52-53
28-93,92-93
48-64,47-71
44-85,7-85
30-57,29-58
5-95,8-90
6-95,12-95
29-95,29-99
28-94,28-97
8-8,7-8
89-90,27-90
24-74,19-74
2-95,2-95
55-91,54-91
30-81,30-81
52-77,53-66
5-91,75-90
41-77,50-77
33-37,32-37
9-34,33-33
95-95,25-96
16-65,53-60
15-75,16-27
6-33,6-7
10-60,2-60
16-62,15-62
19-28,8-47
4-94,93-93
2-96,95-96
21-96,21-34
11-50,11-50
65-99,65-92
13-95,94-94
57-96,57-96
42-85,57-84
26-81,25-82
54-98,54-86
7-72,8-51
67-83,67-71
1-47,1-47
2-89,2-98
30-59,31-59
14-69,9-70
9-97,9-99
45-68,44-69
24-51,47-48
48-48,48-68
7-73,7-73
39-70,38-71
26-94,26-93
14-63,15-62
1-73,2-51
1-93,11-20
34-70,35-69
11-11,11-87
8-73,8-73
23-29,13-67
23-38,23-75
84-94,18-94
10-63,11-62
20-95,20-54
20-97,3-97
44-85,45-84
4-98,3-98
17-80,17-75
22-49,22-49
8-84,83-84
59-91,60-73
76-93,2-97
5-48,5-94
3-58,4-57
46-84,46-82
30-74,73-74
24-34,24-34
4-98,5-98
41-98,42-98
2-85,2-84
25-65,26-30
41-69,12-70
31-88,32-87
10-87,10-87
4-29,4-98
8-40,30-40
26-82,25-82
75-79,45-79
6-98,9-89
2-78,25-78
3-98,3-98
9-78,77-77
56-57,56-58
47-47,47-73
30-80,36-80
2-99,3-98
31-31,15-32
14-71,14-15
5-39,14-38
37-64,37-37
40-88,41-41
84-87,1-99
72-87,72-78
1-99,2-99
12-26,12-26
17-80,17-79
1-84,83-84
20-82,20-20
3-86,2-95
19-98,60-94
8-57,9-12
1-1,1-15
57-58,30-58
48-90,57-89
2-86,85-86
25-78,26-77
76-96,75-97
66-94,64-97
51-80,51-80
2-78,1-78
75-85,76-76
15-96,14-96
12-26,12-16
1-51,3-43
87-88,27-88
17-99,16-99
9-36,20-24
25-32,24-32
32-32,32-76
4-79,4-82
38-61,54-59
38-99,38-99
8-97,8-97
7-28,8-22
76-90,77-90
34-62,34-61
1-98,2-98
5-99,5-5
36-97,10-98
12-94,93-94
72-78,71-78
13-18,14-18
47-76,75-76
21-96,21-95
27-64,28-62
19-40,25-39
4-59,4-98
10-66,10-67
16-82,17-82
7-99,3-99
18-30,17-92
19-77,20-77
33-76,33-76
3-98,17-92
79-79,4-80
93-97,15-98
9-54,10-53
28-59,27-98
59-67,58-67
20-50,20-65
23-91,24-91
3-99,3-97
25-48,26-48
9-79,25-78
6-85,7-84
54-77,53-78
1-99,1-99
59-96,60-96
12-45,12-46
22-87,3-87
36-98,36-74
56-56,22-57
7-92,8-83
13-94,14-93
22-90,89-89
46-94,83-87
3-94,3-95
46-61,46-47
22-23,22-90
1-1,1-67
3-38,2-99
46-98,47-97
52-72,53-71
19-85,18-86
50-90,50-95
98-99,66-99
14-67,14-14
4-79,78-79
13-98,10-98
27-78,77-78
22-28,22-27
84-99,98-99
33-54,34-54
29-45,44-44
89-95,89-93
13-95,94-95
7-43,7-42
16-16,16-96
5-98,5-95
51-54,50-99
5-99,5-5
25-98,25-98
81-94,81-94
48-61,60-61
48-83,48-82
21-89,20-89
10-68,9-91
10-97,96-97
12-88,12-87
16-77,16-16
22-36,21-85
15-70,9-70
18-73,17-74
22-79,39-79
2-3,2-73
1-90,1-90
59-96,19-96
31-71,31-31
73-74,18-78
64-96,65-96
31-86,30-87
3-53,30-52
28-77,27-98
9-89,1-89
42-97,42-99
51-99,52-57
28-35,28-35
4-97,4-4
74-97,75-97
15-94,14-94
29-68,29-69
1-95,2-30
12-72,71-72
5-6,5-30
4-99,3-99
35-55,34-56
4-98,3-98
56-94,55-95
19-20,19-90
7-93,7-89
7-97,7-7
4-88,4-89
17-78,19-78
